Id,SalePrice
1461,131312.4
1462,185724.6
1463,182346.5
1464,207205.4
1465,183731.8
1466,169938.9
1467,179239.6
1468,159002.7
1469,197098.3
1470,112637.0
1471,212124.8
1472,105854.4
1473,91478.0
1474,148871.1
1475,102315.0
1476,341804.8
1477,238238.3
1478,275181.8
1479,277447.2
1480,427703.1
1481,297856.6
1482,203907.0
1483,190353.6
1484,172959.4
1485,190369.0
1486,207781.4
1487,287006.0
1488,235102.5
1489,190512.2
1490,233634.2
1491,214972.8
1492,90589.6
1493,188110.7
1494,283131.1
1495,275095.4
1496,232220.5
1497,171937.9
1498,170444.8
1499,159314.2
1500,151563.0
1501,166569.2
1502,140865.0
1503,276896.7
1504,240624.1
1505,232638.0
1506,204360.9
1507,269335.6
1508,218016.7
1509,158533.6
1510,152033.7
1511,161915.7
1512,187246.1
1513,168064.2
1514,177978.7
1515,215664.4
1516,161019.3
1517,179645.7
1518,151042.0
1519,236600.3
1520,131933.8
1521,145164.7
1522,182428.4
1523,97712.9
1524,134859.0
1525,113968.6
1526,100264.5
1527,87910.1
1528,145645.7
1529,146315.8
1530,185893.5
1531,122848.6
1532,104422.4
1533,167698.3
1534,143742.3
1535,182013.6
1536,110574.5
1537,39522.2
1538,172828.9
1539,224362.1
1540,144666.6
1541,142044.0
1542,155370.2
1543,202635.7
1544,78626.8
1545,102457.9
1546,135601.2
1547,142722.0
1548,142465.6
1549,120126.2
1550,136221.3
1551,129804.6
1552,149890.7
1553,165559.1
1554,110123.5
1555,199951.4
1556,92858.0
1557,130986.9
1558,99644.3
1559,73986.3
1560,167412.5
1561,167416.0
1562,130147.1
1563,118268.1
1564,169660.5
1565,153147.1
1566,245192.1
1567,63562.0
1568,245421.2
1569,165297.7
1570,146387.6
1571,116506.1
1572,152018.8
1573,268527.1
1574,140046.7
1575,243307.8
1576,258973.6
1577,186707.3
1578,146929.2
1579,137758.7
1580,194408.4
1581,158924.8
1582,119949.1
1583,306243.2
1584,237258.6
1585,149746.6
1586,36862.0
1587,85865.9
1588,158403.9
1589,109926.9
1590,141532.3
1591,78550.1
1592,135391.7
1593,111349.3
1594,145775.6
1595,130496.5
1596,218488.1
1597,201555.7
1598,196553.2
1599,181450.7
1600,175936.1
1601,47578.2
1602,133386.4
1603,86174.2
1604,243684.5
1605,251289.8
1606,185475.1
1607,210170.6
1608,203421.8
1609,191330.3
1610,138885.3
1611,145194.0
1612,179897.6
1613,176597.5
1614,124282.5
1615,81288.2
1616,59740.5
1617,78659.0
1618,120795.8
1619,147424.5
1620,194690.5
1621,144347.6
1622,150472.4
1623,266433.8
1624,248762.3
1625,128791.7
1626,181806.6
1627,194738.2
1628,285392.8
1629,169787.7
1630,337041.6
1631,193231.9
1632,232132.9
1633,168577.2
1634,186452.0
1635,177246.0
1636,153510.5
1637,196290.4
1638,202509.9
1639,194550.1
1640,263931.4
1641,190529.4
1642,249791.2
1643,225092.1
1644,234848.2
1645,217986.6
1646,163178.4
1647,163078.9
1648,138174.6
1649,134777.0
1650,103068.8
1651,111914.5
1652,92712.3
